fsd_no;fsd_vr;fsd_id;fsd_li;v1_1;v1_2;v1_3;v1_4;v1_5;v1_6;v2;v3_1;v3_2;v3_3;v3_4;v3_5;v4_1;v4_2;v4_3;v4_4;v5_1;v5_2;v5_3;v5_4;bv1;bv2;bv3_1;bv3_2;bv3_3;bv3_4;bv3_5;bv3_6;bv3_7;bv3_8;bv4;bv5;bv6
3077;2;1;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;1;2;3;1;3;3;1;2;1;2;2;3;2;1;3;1;25;5; ; ; ; ; ; ; ;3;0;2,539643
3077;2;2;(A) openly available for all users without registration (CC BY 4.0);2;1;2;1;1;1;1;3;2;2;3;4;9;1;2;2;4;1;2;2;1;54;8; ; ; ; ; ; ; ;9;0;,489673
3077;2;3;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;1;1;2;2;2;1;2;1;3;1;2;2;2;2;1;54;5; ; ; ; ; ; ; ;4;0;,373917
3077;2;4;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;1;2;2;1;2;2;2;3;9;2;3;3;1;3;2;2;29;6; ; ; ; ; ; ; ;5;0;2,321848
3077;2;5;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;2;1;1;2;2;2;2;1;1;3;3;2;1;1;1;1;1;67;8; ; ; ; ; ; ; ;3;0;,150296
3077;2;6;(A) openly available for all users without registration (CC BY 4.0);2;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;63;7; ; ; ; ; ; ; ;3;0;,362106
3077;2;7;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;1;2;2;3;2;2;2;2;2;1;4;3;3;2;3;1;59;8; ; ; ; ; ; ; ;5;0;,338278
3077;2;8;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;1;1;1;3;2;3;2;2;3;3;1;1;2;2;2;2;48;6; ; ; ; ; ; ; ;3;0;,670863
3077;2;9;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;2;2;3;2;1;2;1;3;2;9;4;2;3;2;77;4; ; ; ; ; ; ; ;9;0;1,270949
3077;2;10;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;1;1;2;3;3;1;2;1;4;3;3;4;2;3;3;1;70;8; ; ; ; ; ; ; ;4;0;,104763
3077;2;11;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;1;1;1;2;2;3;2;1;2;2;1;2;2;2;1;2;1;24;3; ; ; ; ; ; ; ;3;0;1,703528
3077;2;12;(A) openly available for all users without registration (CC BY 4.0);2;2;9;1;2;1;2;2;2;1;2;2;2;1;2;2;1;2;1;2;1;66;9; ; ; ; ; ; ; ;4;0;,334131
3077;2;13;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;9;2;3;3;2;3;4;4;4;3;3;1;3;2;2;47;4; ; ; ; ; ; ; ;2;0;1,878865
